PRECODE;lib_brut2
T-X134;1ER MARINE NATIONALE MAITRE separator
T-X523;AAP
T-X523;AAP ADJOINT ADMINISTRATIF separator
T-X212;AAP ADJOINT IMPOTS separator
T-X523;AAP AFFAIRES CULTURELLES separator
T-X523;AAP AGENT ADMINISTRATIF
T-X523;AAP AGENT ADMINISTRATIF TITULAIRE
T-X213;AAP AGENT COLLECTERR separator
T-W781;AAP AGENT RECOUVREMENT separator
T-X210;AAP CCP
T-X210;AAP CCP separator3
T-X523;AAP CL1
T-X213;AAP CL1 COLLECTERR separator
T-X523;AAP CL1 CORPS ADJOINT
T-X523;AAP CL1 FP
T-X213;AAP CL1 FP POLICE separator
T-X523;AAP CL2
T-X523;AAP CL2 FP
T-X523;AAP CL2 TITULAIRE
T-X213;AAP COLLECTERR
T-X213;AAP COLLECTERR separator3
T-X523;AAP CORPS
T-X523;AAP CORPS separator3
T-X213;AAP DDE
T-X213;AAP DDE separator3
T-W780;AAP DOUANES
T-W780;AAP DOUANES separator3
T-X213;AAP EDUCATION NATIONALE
T-X213;AAP EDUCATION NATIONALE separator3
T-X523;AAP EMPLOYE BUREAU
T-X212;AAP FINANCES PUBLIQUES
T-X523;AAP FP
T-X213;AAP FP EDUCATION NATIONALE separator
T-W524;AAP FP SECRETAIRE
T-W767;AAP FP SECRETAIRE INDUSTRIE
T-X213;AAP HOPITAL
T-X213;AAP HOPITAL separator3
T-X212;AAP IMPOTS
T-X212;AAP IMPOTS separator3
T-X213;AAP INSEE
T-X213;AAP INSEE separator3
T-X212;AAP JURISTE
T-X213;AAP MUNICIPAL
T-X213;AAP MUNICIPAL separator3
T-X213;AAP POLICE
T-X213;AAP POLICE separator3
T-X213;AAP PRINCIPALE
T-X210;AAP PTT
T-X210;AAP PTT separator3
T-X213;AAP SE DDE separator
T-W524;AAP SECRETAIRE CL2
T-W524;AAP SECRETAIRE DIRECTEUR CL2
T-W524;AAP SECRETAIRE FP separator
T-X213;AAP SERVICE EXTERIEUR EDUCNAT
T-Z177;AAP SL TELECOM separator
T-Z177;AAP TELECOM
T-Z177;AAP TELECOM separator3
T-X213;AAP TPE
T-X213;AAP TPE separator3
T-X212;AAP TRESOR
T-X212;AAP TRESOR separator3
T-X213;AAQ COLLECTERR
T-X213;AAQ COLLECTERR separator3
T-W767;AAQ SECRETAIRE
T-X020;AASU
T-Y072;ABAT
T-X342;ABAT ARBRE
T-X342;ABAT ARBRE separator3
T-X342;ABAT ARBRES
T-X342;ABAT ARBRES separator3
T-Y127;ABAT BESTIAUX
T-X342;ABAT BOIS
T-X342;ABAT BOIS separator3
T-Y127;ABAT BOVIN
T-Y127;ABAT BOVIN separator3
T-W562;ABAT CARRIERE
T-W562;ABAT CARRIERE separator3
T-Y127;ABAT CHEVAUX
T-Y127;ABAT CHEVAUX separator3
T-Y072;ABAT DECOUPE
T-Y127;ABAT MANUTENTION separator3
T-W562;ABAT MINE
T-W562;ABAT MINE separator3
T-X342;ABAT ONF
T-X342;ABAT ONF separator3
T-Y127;ABAT TUEUR
T-Y127;ABAT TUEUR separator3
T-Y127;ABAT VOLAILLE
T-Y127;ABAT VOLAILLE separator3
T-Y254;ABATJOURISTE
T-Y072;ABOUTEUR
T-X237;AC
T-W780;AC DOUANE
T-W780;AC DOUANE separator3
T-X212;AC IMPOTS
T-X212;AC IMPOTS separator3
T-W783;ACA AGENT CONSTATATION separator
T-X212;ACAP
T-X212;ACAP separator3
T-X210;ACC
T-X210;ACC PTT
T-X210;ACC PTT separator3
