input;fab
$Z $W;$W
$Z $A;$A
$Z $B;$B
$Z $C;$C
$Z $D;$D
A A P;AAP
A C A P;ACAP
A C A;ACA
ACC 11;ACC11
A C C 11;ACC11
ACC 12;ACC12
A C C 12;ACC12
ACP 2;ACP2
A C P 2;ACP2
A C S;ACS
A C 3;AC3
A C;AC
A E N K;AENK
A E S;AES
AEX DA;AEXDA
A E X D A;AEXDA
A E X SG;AEXSG
A E X S G;AEXSG
A E X;AEX
A E C E;AECE
A F P A;AFPA
A G F;ASSURANCE
A J T;AJT
L A M;LAM
A M;AM
A N P E;ANPE
A N P 1;ANP1
A N P 2;ANP2
A P J;APJ
AP N1;APN1
APN 1;APN1
A P N 1;APN1
AP N2;APN2
APN 2;APN2
A P N 2;APN2
A P N A;APN
A P N;APN
A S I;ASI
A S H Q*;ASH
A S H;ASH
A S M;ASEM
A S;AS
A T B;ATB
A T E R;ATER
A T G I;ATG1
A T G 1;ATG1
A T G 2;ATG2
A T H Q;ATHQ
A T Q;ATQ
A T S E M;ATSEM
A D S E M;ATSEM
A T S M;ATSEM
A T 2;AGTTECHN
A E;AE
AX BSG;AUXILIAIRE PTT
AX BLG;AUXILIAIRE PTT
AX DIS;AUXILIAIRE PTT
B E;BE
B T P;BTP
C A T;CATRAV
C E A;CEA
C E G;COLLEGE
C E S;CES
P C E T;PROFSECTEC
C E T A;SECONDTECH
C E T;SECONDTECH
C H U;HOPITAL
C H S;HOPITAL
C F A;CFA
C N E S;CNES
C N R S;CNRS
C P E N;CPEN
C R S;CRS
D A O;DAO
D C A N;DCAN
D D A;DDA
D D E;DDE
D P L G;DPLG
I D E;INFIRMIER
INFIRMIER* D E;INFIRMIER
D R AS S;DASS
D R;DR
E D F;EDF
E N S;ENS
E P S;EPS
E T S;ETS
F P;FP
G D F;GDF
H L M;HLM
H P;HP
I G N;IGN
I M P;IMP
I N E D;INED
I N R A;INRA
I U F M;IUFM
L E P;SECONDTECH
L P;SECONDTECH
L S;LS
M A 1;MAITRAUX
M A 2;MAITRAUX
M A 3;MAITRAUX
M A;MAITRAUX
M O C N;MOCN
O A T;OAT
O AE;OEA
O E A;OEA
O E V P;OEVP
O H Q;OQ
O N F;ONF
O P Q;OQ
O P S;OQ
O P;OQ
H&;
O P HLM;HLM
O Q 1;OQ
O Q 2;OQ
O Q 3;OQ
O Q;OQ
O R L;ORL
O S;OS
P A O;PAO
P D G;PDG
P E G C;PEGC
PE GC;PEGC
P E G;PEG
PLP 1;PLP1
PL P1;PLP1
PL P 1;PLP1
P L P 1;PLP1
PLP 2;PLP2
P L P 2;PLP2
PL P 2;PLP2
PL P2;PLP2
P M I;PMI
P M U;PMU
P L;PL
P T T;PTT
P ET T;PTT
P V C;PVC
P 1*;OQ
P 2*;OQ
P 3*;OQ
P 4*;OQ
